Fichier d'origine;Nom d'origine;Nouveau fichier;Titre;Distance (km);D+ (m);Doublons écartés;À vérifier
Sortie_Gravel_USO_18_04_2026.gpx;Sortie Gravel USO 18 04 2026;brie-comte-robert-55km.gpx;Brie-Comte-Robert;54,6;254;;
COURSE_479752775.gpx;Copie de Gravel avec Christophe et Jean-François;jossigny-57km.gpx;Jossigny;57,3;140;Gravel avec Christophe et Jean-François / Gravel avec Christophe et Jean-François;
Uso 2505.gpx;Uso 2505;soisy-sur-seine-58km.gpx;Soisy-sur-Seine;58,3;273;;
COURSE_417983147.gpx;59,76 km - nov. 15;favieres-59km.gpx;Favières;59,0;161;;
Uso Gravel 02052026.gpx;Uso Gravel 02052026;neufmoutiers-en-brie-63km.gpx;Neufmoutiers-en-Brie;62,7;136;;
Sortie_gravel_USO_21_03_2026.gpx;Sortie gravel USO 21 03 2026;gretz-armainvilliers-63km.gpx;Gretz-Armainvilliers;62,7;134;;
Gravel_USO.gpx;Gravel USO;presles-en-brie-63km.gpx;Presles-en-Brie;62,9;207;;
USO 20062026 - Sabliere.gpx;USO 20062026 - Sabliere;neufmoutiers-en-brie-67km.gpx;Neufmoutiers-en-Brie;66,8;148;;
Sortie_gravel_USO_06_04_2026.gpx;Sortie gravel USO 06 04 2026;corbeil-essonnes-70km.gpx;Corbeil-Essonnes;69,7;329;Sortie gravel USO 25 07 2026 / Sortie gravel USO 06 04 2026;
Gravel USO 5 sept. 2026.gpx;Gravel USO 5 sept. 2026;gouvernes-70km.gpx;Gouvernes;69,9;316;;
Sortie_gravier_USO_12_04_2026.gpx;Sortie gravier USO 12 04 2026;yebles-73km.gpx;Yèbles;72,6;209;;
Gravel_USO_11_04_2026.gpx;Gravel USO 11 04 2026;jossigny-73km.gpx;Jossigny;72,7;265;;
_____gravel_USO_25_04_2026.gpx;🚴‍♀️ gravel USO 25 04 2026;soignolles-en-brie-73km.gpx;Soignolles-en-Brie;72,7;392;;
_Gravel USO 13 06 2026.gpx;Gravel USO 13 06 2026;yebles-76km.gpx;Yèbles;75,7;334;;
